time,elbow_usage
30,3
30,1
30,3
30,3
30,2
30,4
30,7
30,6
30,8
30,15
30,2
30,5
30,8
30,16
30,5
30,2
30,2
30,1
30,1
30,2
30,3
30,2
30,10
30,3
30,1
30,8
30,7
30,3
30,6
30,2
40,15
40,3
40,14
40,17
40,11
40,19
40,37
40,27
40,50
40,82
40,11
40,29
40,39
40,75
40,23
40,12
40,12
40,4
40,4
40,11
40,13
40,12
40,53
40,15
40,7
40,36
40,32
40,14
40,32
40,9
50,57
50,13
50,56
50,62
50,42
50,71
50,147
50,106
50,176
50,261
50,48
50,95
50,129
50,278
50,85
50,46
50,41
50,17
50,16
50,43
50,49
50,43
50,168
50,65
50,24
50,121
50,119
50,52
50,126
50,33
60,119
60,25
60,108
60,108
60,88
60,137
60,268
60,198
60,308
60,497
60,86
60,204
60,249
60,567
60,164
60,86
60,70
60,35
60,33
60,78
60,90
60,76
60,319
60,115
60,52
60,232
60,243
60,99
60,241
60,57
70,67
70,14
70,70
70,68
70,51
70,89
70,176
70,135
70,201
70,333
70,57
70,126
70,162
70,327
70,98
70,57
70,45
70,20
70,20
70,51
70,62
70,49
70,214
70,77
70,32
70,152
70,140
70,60
70,158
70,36
80,28
80,7
80,29
80,27
80,20
80,37
80,81
80,61
80,85
80,154
80,21
80,54
80,68
80,134
80,50
80,24
80,18
80,8
80,8
80,24
80,28
80,21
80,99
80,28
80,14
80,63
80,57
80,30
80,66
80,14
90,15
90,3
90,14
90,12
90,9
90,15
90,20
90,27
90,14
90,41
90,9
90,21
90,29
90,75
90,23
90,12
90,8
90,4
90,3
90,6
90,13
90,3
90,26
90,12
90,5
90,27
90,32
90,14
90,32
90,6
