Platform_Area,Topside_LWT,Lifetime,Shipbuilding_Time,Oil_Production,Block,Process,Flange_Total,time,Flange_usage
10176.6,4500,10,1.9,0.06,85,89,708,30,11
10176.6,4500,10,1.9,0.06,85,89,708,40,64
10176.6,4500,10,1.9,0.06,85,89,708,50,146
10176.6,4500,10,1.9,0.06,85,89,708,60,212
10176.6,4500,10,1.9,0.06,85,89,708,70,188
10176.6,4500,10,1.9,0.06,85,89,708,80,67
10176.6,4500,10,1.9,0.06,85,89,708,90,19
12498.2,12000,15,2.1,0.08,106,89,882,30,15
12498.2,12000,15,2.1,0.08,106,89,882,40,82
12498.2,12000,15,2.1,0.08,106,89,882,50,191
12498.2,12000,15,2.1,0.08,106,89,882,60,253
12498.2,12000,15,2.1,0.08,106,89,882,70,226
12498.2,12000,15,2.1,0.08,106,89,882,80,87
12498.2,12000,15,2.1,0.08,106,89,882,90,28
14927,16000,17,2.2,0.085,108,89,937,30,7
14927,16000,17,2.2,0.085,108,89,937,40,93
14927,16000,17,2.2,0.085,108,89,937,50,190
14927,16000,17,2.2,0.085,108,89,937,60,295
14927,16000,17,2.2,0.085,108,89,937,70,231
14927,16000,17,2.2,0.085,108,89,937,80,90
14927,16000,17,2.2,0.085,108,89,937,90,31
17852.8,14500,20,3,0.18,119,89,918,30,12
17852.8,14500,20,3,0.18,119,89,918,40,92
17852.8,14500,20,3,0.18,119,89,918,50,177
17852.8,14500,20,3,0.18,119,89,918,60,282
17852.8,14500,20,3,0.18,119,89,918,70,231
17852.8,14500,20,3,0.18,119,89,918,80,91
17852.8,14500,20,3,0.18,119,89,918,90,30
18037.6,20000,20,3.2,0.035,112,91,981,30,17
18037.6,20000,20,3.2,0.035,112,91,981,40,77
18037.6,20000,20,3.2,0.035,112,91,981,50,201
18037.6,20000,20,3.2,0.035,112,91,981,60,312
18037.6,20000,20,3.2,0.035,112,91,981,70,255
18037.6,20000,20,3.2,0.035,112,91,981,80,85
18037.6,20000,20,3.2,0.035,112,91,981,90,34
18605,37478,20,3.7,0.22,120,88,1109,30,10
18605,37478,20,3.7,0.22,120,88,1109,40,109
18605,37478,20,3.7,0.22,120,88,1109,50,223
18605,37478,20,3.7,0.22,120,88,1109,60,329
18605,37478,20,3.7,0.22,120,88,1109,70,283
18605,37478,20,3.7,0.22,120,88,1109,80,115
18605,37478,20,3.7,0.22,120,88,1109,90,36
19308.2,7000,15,1.8,0.12,99,90,784,30,9
19308.2,7000,15,1.8,0.12,99,90,784,40,68
19308.2,7000,15,1.8,0.12,99,90,784,50,178
19308.2,7000,15,1.8,0.12,99,90,784,60,242
19308.2,7000,15,1.8,0.12,99,90,784,70,180
19308.2,7000,15,1.8,0.12,99,90,784,80,75
19308.2,7000,15,1.8,0.12,99,90,784,90,32
19825,32000,30,3.6,0.22,90,88,1076,30,14
19825,32000,30,3.6,0.22,90,88,1076,40,97
19825,32000,30,3.6,0.22,90,88,1076,50,219
19825,32000,30,3.6,0.22,90,88,1076,60,327
19825,32000,30,3.6,0.22,90,88,1076,70,262
19825,32000,30,3.6,0.22,90,88,1076,80,109
19825,32000,30,3.6,0.22,90,88,1076,90,39
19842.99,14000,15,2.3,0.14,106,92,911,30,16
19842.99,14000,15,2.3,0.14,106,92,911,40,91
19842.99,14000,15,2.3,0.14,106,92,911,50,184
19842.99,14000,15,2.3,0.14,106,92,911,60,268
19842.99,14000,15,2.3,0.14,106,92,911,70,217
19842.99,14000,15,2.3,0.14,106,92,911,80,86
19842.99,14000,15,2.3,0.14,106,92,911,90,30
20021.6,6500,17,1.9,0.1,103,91,771,30,10
20021.6,6500,17,1.9,0.1,103,91,771,40,59
20021.6,6500,17,1.9,0.1,103,91,771,50,168
20021.6,6500,17,1.9,0.1,103,91,771,60,239
20021.6,6500,17,1.9,0.1,103,91,771,70,187
20021.6,6500,17,1.9,0.1,103,91,771,80,73
20021.6,6500,17,1.9,0.1,103,91,771,90,29
