time,flange_usage
30,9
30,8
30,8
30,12
30,13
30,9
30,19
30,9
30,20
30,18
30,10
30,15
30,16
30,15
30,17
30,7
30,8
30,6
30,3
30,10
30,8
30,11
30,17
30,15
30,9
30,17
30,12
30,20
30,14
30,7
40,68
40,37
40,49
40,94
40,93
40,103
40,108
40,125
40,108
40,106
40,63
40,94
40,103
40,116
40,79
40,41
40,61
40,44
40,37
40,57
40,108
40,62
40,98
40,96
40,57
40,107
40,90
40,90
40,84
40,52
50,177
50,97
50,139
50,181
50,211
50,212
50,218
50,255
50,251
50,241
50,135
50,213
50,255
50,304
50,206
50,117
50,117
50,100
50,75
50,116
50,222
50,145
50,223
50,207
50,130
50,266
50,236
50,234
50,239
50,99
60,240
60,150
60,203
60,292
60,324
60,317
60,341
60,397
60,333
60,350
60,242
60,315
60,414
60,412
60,320
60,172
60,190
60,154
60,113
60,182
60,345
60,193
60,323
60,369
60,191
60,430
60,321
60,361
60,348
60,160
70,179
70,122
70,154
70,236
70,252
70,269
70,257
70,310
70,297
70,312
70,168
70,272
70,292
70,307
70,261
70,131
70,153
70,120
70,95
70,137
70,269
70,172
70,287
70,256
70,165
70,304
70,239
70,297
70,266
70,130
80,75
80,41
80,60
80,93
80,105
80,109
80,102
80,121
80,114
80,111
80,69
80,102
80,126
80,128
80,87
80,51
80,60
80,50
80,39
80,54
80,105
80,66
80,102
80,105
80,62
80,131
80,99
80,99
80,104
80,51
90,32
90,16
90,24
90,31
90,38
90,34
90,36
90,42
90,37
90,31
90,25
90,37
90,42
90,55
90,35
90,20
90,20
90,18
90,12
90,19
90,36
90,21
90,29
90,39
90,23
90,44
90,42
90,40
90,41
90,17
