time,gasket_usage
30,4
30,1
30,5
30,4
30,3
30,5
30,7
30,8
30,10
30,20
30,2
30,8
30,20
30,8
30,17
30,2
30,1
30,1
30,1
30,1
30,4
30,5
30,5
30,4
30,2
30,19
30,3
30,10
30,5
30,1
40,14
40,4
40,20
40,17
40,17
40,23
40,28
40,40
40,54
40,101
40,12
40,29
40,85
40,33
40,71
40,8
40,5
40,7
40,6
40,5
40,21
40,26
40,23
40,18
40,9
40,78
40,14
40,44
40,20
40,5
50,18
50,6
50,29
50,21
50,17
50,27
50,35
50,48
50,64
50,101
50,14
50,34
50,93
50,41
50,109
50,11
50,6
50,7
50,7
50,7
50,25
50,31
50,23
50,21
50,10
50,85
50,17
50,68
50,29
50,7
60,32
60,11
60,48
60,43
60,34
60,49
60,78
60,88
60,95
60,196
60,24
60,77
60,178
60,72
60,198
60,18
60,12
60,14
60,13
60,15
60,47
60,45
60,44
60,38
60,23
60,164
60,30
60,123
60,48
60,14
70,70
70,22
70,96
70,85
70,69
70,94
70,134
70,168
70,223
70,392
70,53
70,149
70,359
70,159
70,374
70,37
70,23
70,28
70,25
70,25
70,89
70,106
70,89
70,82
70,44
70,331
70,66
70,233
70,98
70,27
80,133
80,37
80,171
80,157
80,125
80,157
80,264
80,295
80,381
80,689
80,94
80,248
80,796
80,300
80,648
80,66
80,42
80,51
80,44
80,50
80,156
80,182
80,156
80,147
80,73
80,732
80,125
80,403
80,174
80,52
90,81
90,22
90,110
90,97
90,79
90,93
90,162
90,158
90,233
90,473
90,55
90,155
90,440
90,184
90,374
90,42
90,26
90,32
90,25
90,31
90,84
90,111
90,107
90,86
90,46
90,405
90,77
90,233
90,112
90,31
