Platform_Area,Topside_LWT,Lifetime,Shipbuilding_Time,Oil_Production,Block,Process,Pipe_Total,Pipe_usage
19308.2,7000,15,1.8,0.12,99,90,3548,35.5
18037.6,20000,20,3.2,0.035,112,91,4015,40.2
20021.6,6500,17,1.9,0.1,103,91,4705,47.1
17852.8,14500,20,3,0.18,119,89,5862,58.6
19825,32000,30,3.6,0.22,90,88,6875,68.8
18605,37478,20,3.7,0.22,120,88,6390,63.9
19842.99,14000,15,2.3,0.14,106,92,6195,62
14927,16000,17,2.2,0.085,108,89,4980,49.8
12498.2,12000,15,2.1,0.08,106,89,5194,51.9
10176.6,4500,10,1.9,0.06,85,89,3093,30.9
