T,No,L,B,D,T,DWT,SC,OP,GP,WP,CREW,WD,TLWT,Total_pipe,30,40,50,60,70,80,90
training,1,214.7,38,23.7,18,88326,0.56,0.06,12,0.25,50,105,6200,3437,34,275,756,1066,790,344,172
training,2,214.7,38.2,22.2,16,60000,0.42,0.057,53,0.057,77,84,2500,2597,26,234,545,831,597,260,104
training,3,232,41.5,23.5,16,92800,0.58,0.089,38,0.122,60,126,6000,3378,34,270,777,1047,777,372,101
training,4,273,50,28,18.8,180000,1.4,0.003,35,0.174,84,366,11000,5148,51,463,1081,1751,1133,463,206
training,5,276.4,45,26.6,19.7,105000,0.94,0.22,840,0.063,116,320,15000,5804,58,464,1335,1684,1335,638,290
training,6,300,59.6,30.5,22.8,343000,2,0.27,280,0.18,140,1400,23500,4278,43,342,941,1369,984,385,214
training,7,285,60,32.3,24.4,340660,2.2,0.25,400,0.525,100,1180,23000,4192,42,335,964,1300,964,461,126
training,8,296,63,32.3,24,375600,2.2,0.21,340,0.15,100,1220,30000,6893,69,620,1585,2138,1516,620,345
training,9,312.4,60,33.2,24.3,329000,2,0.24,280,0.265,190,1365,30000,6702,67,536,1407,2078,1609,737,268
training,10,305.1,58,32,23.4,312500,2,0.225,170,0.1,70,1030,22000,4180,42,334,961,1213,961,460,209
training,11,260,46,25.8,18.5,142000,0.9,0.1,80,0.1,80,390,8000,3878,35,313,814,1308,864,395,149
training,12,319,58,31,23.4,360000,1.77,0.24,400,0.45,120,1310,24000,6107,60,506,1430,1760,1367,675,309
training,13,320,58.4,32,24,337859,2.2,0.25,450,0.12,100,1462,35000,7180,73,628,1630,1958,1771,755,365
training,14,310,61,30.5,23.5,321000,2,0.225,530,0.42,240,1325,37000,7251,73,580,1595,2247,1668,725,363
training,15,320,61,32,24.7,353200,2,0.18,176.6,0.1,180,750,27700,4559,46,410,957,1459,1049,456,182
training,16,250.2,34,19.1,12.8,43276,0.28,0.14,100,0.12,70,450,4500,3043,30,243,700,944,700,335,91
training,17,253,42,23.2,15,103000,0.6,0.07,110,0.022,55,85,5000,3105,31,279,652,1057,683,279,124
training,18,334.9,43.7,27.7,21.4,228033,1.5,0.1,52,0.02,76,383,3500,2967,30,237,682,862,682,326,148
training,19,245.4,39.6,20.6,14.7,94238,0.65,0.035,100,0.018,85,75,1900,2153,22,172,474,688,495,194,108
training,20,362,60,28.3,23,356400,1.3,0.081,75,0.05,100,700,4500,2986,30,239,687,925,687,328,90
training,21,271.8,46,26.6,18,150000,0.94,0.13,150,0.18,80,120,12000,5300,53,477,1219,1643,1166,477,265
training,22,271,44,22.4,17,138900,1.04,0.08,85,0.032,100,70,5500,3489,35,279,733,1081,837,384,140
training,23,337,54.5,27,21,273191,2,0.15,162,0.2,100,785,14000,5091,51,407,1171,1476,1171,560,255
training,24,328.6,54.5,27,21,273622,1,0.15,210,0.251,194,1035,14000,6000,54,484,1260,2024,1336,611,231
training,25,217.2,38,23,17,85943,0.45,0.1,75,0.3,90,113,6000,3038,30,252,711,875,680,336,154
training,26,325,61,32.5,25.6,320000,1.9,0.22,150,0.382,240,800,32000,7910,80,692,1796,2157,1951,832,402
training,27,346.3,57.3,28.5,22.9,322911,2,0.14,35,0.325,46,1200,14000,5026,50,402,1106,1558,1156,503,251
training,28,295,50.6,29,19.9,128000,0.95,0.085,671,0.02,126,350,16000,5081,51,457,1067,1626,1169,508,203
training,29,271.7,46,26.6,18.2,148192,0.95,0.08,53,0.06,89,134,12000,5906,59,472,1358,1833,1358,650,176
training,30,242.3,42,21.1,14.9,105000,0.66,0.06,85,0.065,96,350,4500,2209,22,199,464,751,486,199,88
test,A,285 ,60 ,32 ,24 ,340660 ,2 ,0 ,400 ,1 ,100 ,1010 ,23000 ,6716,67,537,1545,1947,1545,739,336
test,B,319 ,56 ,30 ,20 ,255271 ,2 ,0 ,71 ,0 ,110 ,1260 ,14500 ,5887,59,471,1295,1884,1354,530,294
test,C,305 ,61 ,32 ,24 ,350000 ,2 ,0 ,250 ,0 ,240 ,1200 ,37478 ,7990,80,639,1838,2476,1838,879,240
